id;name;website;vertical;sub_vertical;country;region;city;logo_url;estadio_actual;solucion;mail;social_media;contact_phone;founders;founded;organization_type;outcome_status;business_model;badges;notes;status;lat;lng
;Spoiler Alert;spoileralert.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;El software que permite a los socios comerciales de fabricación, venta al por mayor y al por menor llevar inventario de alta calidad a las casas adecuadas a los precios justos.;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;HyProMag;hypromag.com/;circular_economy;otra_especificar;Reino Unido;S/D;S/D;S/D;S/D;La tecnología principal que comercializa HyProMag es el Procesamiento de Hidrógeno de Chatarra Magnética (HPMS), patentado y de alta eficiencia energética, para extraer y desmagnetizar polvos de aleación de NdFeB (neodimio-hierro-boro) de los imanes incrustados en chatarra y equipos redundantes.;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;DePoly;depoly.co/;circular_economy;waste_upcycling;Suiza;S/D;S/D;S/D;S/D;Empresa de reciclaje químico de plásticos que desarrolla tecnología para despolimerizar residuos PET y poliéster en materias primas reutilizables, apoyando la transición a una economía circular del plástico;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Glacier;endwaste.io/;circular_economy;waste_upcycling;Estados Unidos;San Francisco;S/D;S/D;S/D;construimos robots de última generación que hacen que el reciclaje sea eficiente, rentable y circular. Nuestros sistemas combinan la visión artificial con la robótica para recuperar más materiales a menor coste.;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;800 Super Holdings;800super.com.sg/;circular_economy;otra_especificar;Singapur;Sembawang;S/D;S/D;S/D;Ofrecen soluciones ambientales para organizacines públicas o privadas: como gestión y tratamiento de residuos, limpieza y conservación, y servicios de horticultura.;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Greyparrot;greyparrot.ai/;circular_economy;otra_especificar;Reino Unido;S/D;S/D;S/D;S/D;Plataforma IA de análisis inteligente de residuos, que identifica y clasifica materiales en plantas de reciclaje y proporciona datos accionables a marcas y operadores para mejorar la recuperabilidad y diseño circular de empaques.;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;NoPalm-Ingredients;nopalm-ingredients.com/;circular_economy;otra_especificar;Países Bajos;S/D;S/D;S/D;S/D;Foodtech/biotech que produce alternativas sostenibles a los aceites de palma mediante fermentación y uso de subproductos lácteos, reduciendo impacto ambiental y promoviendo circularidad.;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Infiniti Recycling;infinitirecycling.com/;circular_economy;otra_especificar;Reino Unido;Cambridge;S/D;S/D;S/D;Nuestro enfoque de economía circular se centra en recuperar materiales valiosos de las baterías usadas y reintroducirlos en la producción de nuevas baterías u otras aplicaciones.;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Ace Green Recycling;acegreenrecycling.com/;circular_economy;otra_especificar;Estados Unidos;Houston;S/D;S/D;S/D;Una innovadora plataforma tecnológica de reciclaje de baterías que ofrece soluciones sostenibles para el final de su vida útil.;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Fourth Partner Energy;fourthpartner.co/;circular_economy;otra_especificar;India;S/D;S/D;S/D;S/D;Nos dedicamos a transformar las fuentes de energía de las organizaciones, en energía limpia, confiable y disponible las 24 horas.Impulsando un planeta más limpio y verde para las generaciones futuras;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
